"text","post_content","source_type"
"Cécile Aarts Eux en ont chier physiquement ça s est sûr, mais par contre l ambiance des entreprises, étaient bcp plus familiale qu aujourd'hui.
J ai 50 ans, j ai commencé a bosser a 20 ans ds une entreprise d électronique ou je bossais en 3x8 a l époque,les directives étaient bcp moins exigeantes, des chefs d équipe un peu plus humains, 30 ans plus tard je suis tjrs ds la même entreprise, qui est devenu un grand groupe, et bien je n aie plus l impression de travailler ds la même boîte.. tjrs les chiffres, tjrs faire plus avec le même tps de travail, des managers qui ne pensent qu a leur prime en nous poussant au max pr atteindre  le pic de la fin de mois ,on ne se préoccupe plus des salariés, nous ne sommes que des numéros, si on rencontre des soucis de santé, on fait en sorte de nous pousser vers la grande porte et d aller voir ailleurs.
Donc nos anciens ne peuvent pas comprendre la vie d aujourd'hui au travail.","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/JMbI","post"
"Ça veut dire que le monde du travail est arrivé au bout !!!!! Pauvre jeunesse","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents","post"
"Les jeunes à trottinettes se lancent des défis constamment, sans aucune protection","Un adolescent de 14 ans en trottinette mortellement fauché par un train, les barrières du passage à niveau « ont correctement fonctionné »","post"
"Ils ont bonne mine tout le monde est a la ramasse en commençant par le haut de la pyramide manque d infrastructures personnel et moyen le darmanin il peut muter qui y veut c est tous des incompétents voila le vrai problème y a personne qui en a dans le pantalon par contre ca se remplit les poches 🤪","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/15fe","post"
"Chambre d’amour. La plus jolie plage de France à mes yeux 😍","🏄Inventé en 1994, le Surf de nuit d’Anglet réunit des surfeurs sur des planches équipées de LED colorées. Cette année, 18 surfeurs se sont affrontés devant près de 20 000 spectateurs à la Chambre d’Amour. Pendant 1 h 30, ils se relaient dans l’eau en équipe pour enchaîner les meilleures vagues, multiplier les figures et décrocher le plus de points possible.
🔗 https://l.sudouest.fr/c2d6

📹 Inès Dillet","post"
"Sud ouest avec c informations a la con vraiment que de la merde ce journal","« J’étais incapable de réagir » : Jade, Agenaise de 23 ans, livre le témoignage de son viol","post"
"Une date qu'on ne peut oublier nous avions le même âge une femme extraordinaire elle était née pour être princesse dommage que son prince n'était pas à la hauteur 😪😪","Vidéo. Rappelez-vous, en 1997, Lady Diana Spencer perdait la vie à l’âge de 36 ans dans un tragique accident de voiture à Paris","post"
"Une belle personnalitee
Dramatique","Vidéo. Rappelez-vous, en 1997, Lady Diana Spencer perdait la vie à l’âge de 36 ans dans un tragique accident de voiture à Paris","post"
"Avec la prefete actuelle ça fait une bonne paire de pingouins","🔴 Affaire Lyhanna : la procureure d’Auch Clémence Meyer, mutée au parquet général de Bordeaux « dans les prochains jours »
🔗https://l.sudouest.fr/Px7C","post"
"S’ils avaient été bien éduqués, avec de vraies valeurs, ce phénomène n’existerait pas !! 🙄😬","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/c2dZ","post"
"Pathétique ramassis d'alcooliques consanguins","L’association présidée par Laurent Leclercq, qui compte 220 adhérents, accueillera les chasseurs au port les samedis 5 et 12 septembre afin de préparer la nouvelle saison et d’échanger sur la gestion du gibier","post"
"Norbert Audran Nan mais me dire que votre maman était agrégée d histoire et ne rien connaître de notre histoire...je suis désolé pour elle car elle doit s en vouloir où qu'elle soit d avoir loupé cela avec vous 
Bonne continuation","Les faits remontent à mercredi 19 août, avec pour toile de fond la présence de la députée Rassemblement national","post"
"Bernie Fischer je ne sais pas quels retraités vous fréquentez mais c'est très loin d'être la majorité de ceux que je connais.","Santé mentale : ces jeunes actifs qui enchaînent les arrêts maladie pour ne pas « cravacher » comme leurs parents
🔗https://l.sudouest.fr/c2dZ","post"
"Gigi Lsi parce que les aides on peut aussi les avoir en travaillant...","Budget 2027 : le RSA et le minimum vieillesse seront indexés sur l’inflation, confirme Jean-Pierre Farandou","post"
"Un abruti cache toujours un abruti","Dans le Gers, un jeune homme s’asperge d’alcool avant de plonger dans une piscine, son corps est brûlé à 80 %
🔗https://l.sudouest.fr/EmEp","post"
"Elise Ron je suis d'accord avec vous","Budget 2027 : le RSA et le minimum vieillesse seront indexés sur l’inflation, confirme Jean-Pierre Farandou","post"
"Je  n oublierais  jamais  je  me trouvais  au Canada  quand  on  apparit cette  terrible  nouvelle","Vidéo. Rappelez-vous, en 1997, Lady Diana Spencer perdait la vie à l’âge de 36 ans dans un tragique accident de voiture à Paris","post"
"Décidément 😏","L’accident a eu lieu un peu après 18 h 30, dimanche 30 août. La victime s’en est sortie indemne","post"
"Jérémy Petit","La Ville de La Tremblade veut accompagner le démantèlement du phare de la Coubre","post"
